version;filename;loc;loc_touched;NR;NFix;NAuth;LOC_added;MAX_LOC_added;AVG_LOC_added
0.9.0;openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java;62;62;1;_;0;62;62;62
0.9.0;openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java;100;100;1;_;0;100;100;100
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java;212;212;1;_;0;212;212;212
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java;257;257;1;_;0;257;257;257
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java;148;148;1;_;0;148;148;148
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java;50;50;1;_;0;50;50;50
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java;603;603;1;_;0;603;603;603
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java;873;873;1;_;0;873;873;873
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java;52;52;1;_;0;52;52;52
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java;58;58;1;_;0;58;58;58
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java;158;158;1;_;0;158;158;158
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java;61;61;1;_;0;61;61;61
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java;135;135;1;_;0;135;135;135
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java;189;189;1;_;0;189;189;189
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java;376;376;1;_;0;376;376;376
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java;259;259;1;_;0;259;259;259
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java;32;32;1;_;0;32;32;32
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java;243;243;1;_;0;243;243;243
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java;42;42;1;_;0;42;42;42
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java;126;126;1;_;0;126;126;126
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java;58;58;1;_;0;58;58;58
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java;168;168;1;_;0;168;168;168
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java;172;172;1;_;0;172;172;172
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java;322;322;1;_;0;322;322;322
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java;46;46;1;_;0;46;46;46
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java;38;38;1;_;0;38;38;38
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStore.java;96;96;1;_;0;96;96;96
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java;1383;1383;1;_;0;1383;1383;1383
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java;628;628;1;_;0;628;628;628
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/LRSSizes.java;43;43;1;_;0;43;43;43
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java;455;455;1;_;0;455;455;455
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java;360;360;1;_;0;360;360;360
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java;217;217;1;_;0;217;217;217
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java;441;441;1;_;0;441;441;441
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java;177;177;1;_;0;177;177;177
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java;44;44;1;_;0;44;44;44
0.9.0;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java;127;127;1;_;0;127;127;127
